model,animal,concept_token_id,delta_logit_concept_observed,delta_logit_concept_predicted,alignment_cos_deltaR_Uc,alpha_hat,spearman_coupling_vs_number_delta,spearman_pvalue,pearson_coupling_vs_number_delta,pearson_pvalue,r2_coupling_vs_number_delta,top_increased_number,top_increased_number_delta_logit
instruct,tiger,52835,10.839518547058105,10.839498519897461,0.1114278149626107,14.641024778118592,0.20497814507403025,5.392921538062417e-12,0.18930363655090332,2.051617070675249e-10,0.0358358658850193,836,6.983120441436768
instruct,bear,11984,11.214140892028809,11.214158058166504,0.09012726825623456,9.240966863971414,0.04750032042660314,0.11372677711408012,0.06997118145227432,0.019730256870388985,0.004895966034382582,184,6.822434425354004
instruct,wolf,37642,14.726605415344238,14.726604461669922,0.14381114171469386,17.943604086480235,0.17067604891261917,1.0528779901746571e-08,0.16896677017211914,1.4802555625692548e-08,0.028549769893288612,836,6.9995622634887695
instruct,fox,39935,13.155318260192871,13.155313491821289,0.12005696030370745,14.822407825983943,0.10560309266127549,0.00042470431767769207,0.09879209846258163,0.0009814919903874397,0.009759878739714622,951,7.443734645843506
instruct,deer,39149,13.960029602050781,13.960012435913086,0.13719946968329133,17.86241623634754,0.12842474975833867,1.7735363843093683e-05,0.11640403419733047,0.00010147163266083226,0.013549898751080036,77,8.885025024414062
instruct,elk,77942,16.434179306030273,16.43416976928711,0.1472156693214214,19.685235417428295,0.08504787358808019,0.004576012948960343,0.06775610148906708,0.023979542776942253,0.004590889438986778,77,6.770180702209473
instruct,goat,54392,12.583592414855957,12.583597183227539,0.12293411811453916,15.867727031851828,0.14952833620797804,5.605623400508571e-07,0.14618732035160065,1.0017986369348364e-06,0.02137073315680027,743,6.788828372955322
instruct,sheep,33012,11.500186920166016,11.500200271606445,0.10627779351540272,13.99050473796993,0.19946637317205754,2.0063476005925466e-11,0.19529078900814056,5.2951310003379604e-11,0.0381384938955307,743,7.015383243560791
instruct,cow,19923,12.804386138916016,12.804360389709473,0.11490222556314318,13.543842062327132,0.16104545214348892,6.863761558575568e-08,0.16721662878990173,2.0906504971662798e-08,0.027961401268839836,082,7.5790252685546875
instruct,horse,15580,10.345318794250488,10.345342636108398,0.09907771473111135,12.6696372168784,0.1283476759929545,1.794400046372229e-05,0.1333547830581665,8.278396308014635e-06,0.017783498391509056,75,7.052759647369385
instruct,pig,24623,14.428991317749023,14.429009437561035,0.12967010029033146,15.438573505343614,0.14372173015317763,1.5251300295942847e-06,0.14350350201129913,1.5823912917767302e-06,0.020593255758285522,473,7.224730491638184
instruct,dog,5679,6.869820594787598,6.8698344230651855,0.06462349975342548,7.080198477294814,0.049438625533403634,0.09970593833489023,0.05487379804253578,0.06762014329433441,0.0030111337546259165,082,7.305164337158203
instruct,cat,8415,8.603772163391113,8.603734016418457,0.07575882887207884,8.13110009789446,0.03553958447047395,0.23676951925411271,0.03613903000950813,0.2289501428604126,0.0013060295023024082,951,7.517356872558594
instruct,rat,11494,16.582834243774414,16.582849502563477,0.14397872230669462,17.4041483338908,0.204738264834366,5.714725717748399e-12,0.21339058876037598,6.752392156701703e-13,0.04553554207086563,915,7.647833824157715
instruct,mouse,8814,14.833269119262695,14.833253860473633,0.13705358943906815,16.531363799758537,0.10390206227505017,0.0005259935311031877,0.11301369965076447,0.00016123671957757324,0.012772096320986748,723,7.217169761657715
instruct,rabbit,39824,11.027008056640625,11.027009010314941,0.10568944497165152,13.488734471288796,0.20395834768708884,6.8963729027996026e-12,0.19747692346572876,3.194313563659179e-11,0.03899713605642319,951,6.854849815368652
instruct,bat,16120,10.474108695983887,10.474117279052734,0.08872999724671259,9.717402207747872,0.10069318534709709,0.0007807725329622748,0.10117685794830322,0.0007361665484495461,0.01023675687611103,627,6.623636245727539
instruct,monkey,39803,5.24980354309082,5.249805450439453,0.05282472101392108,6.138551811956309,0.1818925923006845,1.0330687894121813e-09,0.1909734606742859,1.4123323344161776e-10,0.036470863968133926,435,6.569263458251953
instruct,panda,89322,6.278875350952148,6.278875827789307,0.06104366725322718,7.568213605956589,0.08176823190081052,0.006415741396629028,0.08807318657636642,0.003317194292321801,0.007756886072456837,473,6.7293291091918945
base,owl,53369,5.4822235107421875,5.482198715209961,0.14802732894784035,5.846522605552587,-0.07025731939801344,0.019232409583741776,-0.089371457695961,0.0028808980714529753,0.007987257093191147,027,2.521224021911621
base,eagle,60989,6.697243690490723,6.697241306304932,0.1579086310286402,6.693400141199126,-0.07248577317946743,0.01571616997608435,-0.08069425821304321,0.007149063982069492,0.0065115634351968765,168,2.87031888961792
